nextMktCl,RP_ESS_MEAN,News_volumn,News_buzz
2004-02-25 16:00:00,-0.43,3,-0.20236041380149655
2004-02-26 16:00:00,-0.27,11,0.4739131218734297
2004-02-27 16:00:00,-0.48,2,-0.29547350930173494
2004-02-28 16:00:00,,1,-0.3799241312766277
2004-03-02 16:00:00,-0.43,2,-0.28911106910624407
2004-03-03 16:00:00,0.49,4,-0.11389223934488402
2004-03-04 16:00:00,-0.485,2,-0.28911106910624407
2004-03-06 16:00:00,-0.1433333333333333,6,0.046841911328695064
2004-03-09 16:00:00,0.29000000000000004,7,0.12020037192319571
2004-03-11 16:00:00,,2,-0.32284638255438153
2004-03-16 16:00:00,-0.43,1,-0.3980503808905105
2004-03-17 16:00:00,0.68,1,-0.3853335741897702
2004-03-18 16:00:00,,1,-0.5860313183498594
2004-03-23 16:00:00,,1,-0.7369957056341206
2004-03-25 16:00:00,-0.49,2,-0.32045658091492285
2004-03-27 16:00:00,0.0,1,-0.7574428276170904
2004-03-30 16:00:00,-0.43,1,-0.7369957056341206
2004-03-31 16:00:00,0.3775,6,1.330941170496719
2004-04-01 16:00:00,0.22999999999999998,2,-0.3123355836589415
2004-04-06 16:00:00,0.0,2,-0.32911616014501777
2004-04-07 16:00:00,,2,-0.3462609432593763
2004-04-09 16:00:00,-0.48,1,-0.7583981081602584
2004-04-13 16:00:00,0.458,7,1.6611444226427443
2004-04-14 16:00:00,,1,-0.7895826082789069
2004-04-15 16:00:00,0.48,4,0.3981255227821454
2004-04-16 16:00:00,,2,-0.3981255227821454
2004-04-20 16:00:00,0.62,4,0.4106149670467338
2004-04-21 16:00:00,0.0,2,-0.3958170832068596
2004-04-22 16:00:00,-0.24,4,0.4615777698765411
2004-04-23 16:00:00,0.37219512195121945,60,5.162019624390547
2004-04-24 16:00:00,-0.020000000000000018,3,-0.17154747996464054
2004-04-27 16:00:00,-0.11,1,-0.32882611963358316
2004-04-28 16:00:00,-0.43,1,-0.32539910410632483
2004-04-30 16:00:00,,3,-0.1441456621254338
2004-05-04 16:00:00,0.5349999999999999,3,-0.14737135818288213
2004-05-05 16:00:00,0.0,1,-0.3254980106134691
2004-05-06 16:00:00,-0.49,2,-0.23160435370573762
2004-05-08 16:00:00,-0.49,1,-0.30943387889831925
2004-05-11 16:00:00,,2,-0.2001240377085975
2004-05-12 16:00:00,-0.003333333333333336,3,-0.10949767100314194
2004-05-13 16:00:00,-0.48,1,-0.2972079641513852
2004-05-14 16:00:00,-0.485,2,-0.2066498244206019
2004-05-15 16:00:00,,1,-0.30058156279360276
2004-05-18 16:00:00,,1,-0.30058156279360276
2004-05-19 16:00:00,-0.32666666666666666,5,0.06579727423420928
2004-05-20 16:00:00,-0.32666666666666666,3,-0.12864437750463736
2004-05-21 16:00:00,-0.485,3,-0.13511801710865984
2004-05-22 16:00:00,-0.245,2,-0.21671990393613028
2004-05-25 16:00:00,-0.09333333333333332,9,0.41990258097408983
2004-05-26 16:00:00,-0.145,7,0.21625693974540994
2004-05-27 16:00:00,0.48666666666666664,8,0.2913701752677339
2004-05-28 16:00:00,,1,-0.366562478562633
2004-05-29 16:00:00,-0.49,1,-0.347257010410222
2004-06-01 16:00:00,0.39,2,-0.2567832127534803
2004-06-02 16:00:00,0.45,4,-0.06889305708020205
2004-06-03 16:00:00,-0.5039999999999999,6,0.10657492870268728
2004-06-04 16:00:00,-0.4975,4,-0.0814984748902902
2004-06-05 16:00:00,,1,-0.36010635987319856
2004-06-08 16:00:00,,2,-0.2596185941368249
2004-06-09 16:00:00,-0.48,1,-0.8169024087701949
2004-06-10 16:00:00,0.0,2,-0.34724185802111884
2004-06-15 16:00:00,,1,-0.8001660206573609
2004-06-16 16:00:00,0.41,1,-0.8001660206573609
2004-06-18 16:00:00,0.65,1,-0.7621049014432869
2004-06-19 16:00:00,,1,-0.725545081251193
2004-06-22 16:00:00,,1,-0.725545081251193
2004-06-23 16:00:00,0.45,1,-0.7053985620677812
2004-06-24 16:00:00,0.49,1,-0.7053985620677812
2004-06-26 16:00:00,0.0,2,-0.26452446077541797
2004-06-29 16:00:00,-0.4925,14,3.5831559759927747
2004-06-30 16:00:00,-0.4925,6,0.9234453271659518
2004-07-01 16:00:00,0.47,3,-0.05381399145253512
2004-07-02 16:00:00,,3,-0.07599814740060575
2004-07-06 16:00:00,,1,-0.7274108394057976
2004-07-07 16:00:00,-0.43,1,-0.6823213551866312
2004-07-08 16:00:00,,2,-0.3458422985128218
2004-07-09 16:00:00,0.44,1,-0.6436503043467894
2004-07-13 16:00:00,,1,-0.6295962265527154
2004-07-14 16:00:00,0.0,1,-0.580977830583475
2004-07-15 16:00:00,0.01,3,0.154083432625508
2004-07-16 16:00:00,,2,-0.13998460214169195
2004-07-17 16:00:00,,1,-0.5217607898008517
2004-07-20 16:00:00,,3,0.2172149749086171
2004-07-21 16:00:00,0.195,4,0.5718983031736787
2004-07-22 16:00:00,-0.52,3,0.20438585179100355
2004-07-23 16:00:00,0.18981481481481483,66,5.174159922942526
2004-07-24 16:00:00,-0.22,5,0.04204338215673052
2004-07-27 16:00:00,0.2,5,0.03087902963488526
2004-07-28 16:00:00,-0.43,3,-0.1404330854849751
2004-07-29 16:00:00,,2,-0.227679106515577
2004-07-30 16:00:00,0.39,5,0.016880647912656276
2004-08-03 16:00:00,-0.52,1,-0.3207323103404689
2004-08-04 16:00:00,-0.43,2,-0.2393375908635807
2004-08-05 16:00:00,-0.49,3,-0.1607238665388537
2004-08-06 16:00:00,,1,-0.32990688394817336
2004-08-07 16:00:00,-0.49,1,-0.32990688394817336
2004-08-10 16:00:00,,4,-0.08474534296955345
2004-08-11 16:00:00,-0.45499999999999996,2,-0.2572850391151837
2004-08-13 16:00:00,-0.5249999999999999,2,-0.2572850391151837
2004-08-18 16:00:00,-0.3133333333333333,5,0.022855277196375177
2004-08-19 16:00:00,0.35687500000000005,29,1.8828589219529601
2004-08-20 16:00:00,0.528,5,-0.045433124244497955
2004-08-21 16:00:00,-0.49,1,-0.3602286314101597
2004-08-24 16:00:00,-0.49,2,-0.2830975632114005
2004-08-25 16:00:00,-0.45499999999999996,5,-0.053538030701604844
2004-08-26 16:00:00,-0.49,3,-0.21698268769731402
2004-08-27 16:00:00,0.52,2,-0.30030758446413924
2004-08-28 16:00:00,-0.25333333333333335,8,0.163906341879971
2004-08-31 16:00:00,-0.48,3,-0.24495550245918132
2004-09-01 16:00:00,-0.43,3,-0.24495550245918132
2004-09-02 16:00:00,0.0,3,-0.2478452543184776
2004-09-08 16:00:00,0.03999999999999998,2,-0.33170092533895684
2004-09-10 16:00:00,,1,-0.4064646249597405
2004-09-14 16:00:00,-0.43,3,-0.2421266960234326
2004-09-15 16:00:00,-0.48,4,-0.1642009412089018
2004-09-16 16:00:00,,1,-0.5692390673384827
2004-09-21 16:00:00,0.28,6,0.41608709296481167
2004-09-22 16:00:00,,2,-0.356140215549648
2004-09-23 16:00:00,,2,-0.3489410570450561
2004-09-25 16:00:00,-0.23,2,-0.3489410570450561
2004-09-28 16:00:00,0.465,11,1.3450323619121816
2004-09-29 16:00:00,0.33666666666666667,11,1.2521497833129467
2004-09-30 16:00:00,0.49,1,-0.6084646004410594
2004-10-05 16:00:00,0.32166666666666666,8,0.6598205446941251
2004-10-06 16:00:00,-0.475,6,0.26056280737785453
2004-10-07 16:00:00,,6,0.23118305877896314
2004-10-08 16:00:00,-0.48,1,-0.6818294229132288
2004-10-12 16:00:00,0.63,1,-0.6731075374846778
2004-10-13 16:00:00,-0.00999999999999999,3,-0.309553582705303
2004-10-14 16:00:00,,1,-0.6513138712570467
2004-10-15 16:00:00,,5,0.44414835310157696
2004-10-16 16:00:00,,2,-0.5713867885239284
2004-10-19 16:00:00,,5,0.43664558516725716
2004-10-20 16:00:00,0.0,2,-0.625465297672017
2004-10-21 16:00:00,0.52,2,-0.5884108395851992
2004-10-22 16:00:00,0.2862790697674419,60,5.1048185211614
2004-10-23 16:00:00,-0.04,7,0.11899709859307628
2004-10-26 16:00:00,0.38000000000000006,6,0.03133983396113495
2004-10-27 16:00:00,0.41,5,-0.06901920157452299
2004-10-28 16:00:00,,1,-0.438223690257482
2004-10-30 16:00:00,-0.17,3,-0.2504135372899897
2004-11-02 16:00:00,-0.51,3,-0.25378948633195014
2004-11-03 16:00:00,-0.26,3,-0.26064950203418547
2004-11-04 16:00:00,-0.3366666666666666,6,0.012576635190170979
2004-11-06 16:00:00,-0.49,1,-0.44824844611552317
2004-11-09 16:00:00,0.4,11,0.4606932187895022
2004-11-10 16:00:00,0.0825,4,-0.1910478240917317
2004-11-11 16:00:00,,3,-0.2884495924277452
2004-11-13 16:00:00,-0.48,2,-0.38250924213244475
2004-11-16 16:00:00,,2,-0.38250924213244475
2004-11-17 16:00:00,-0.17333333333333334,3,-0.26405533663365055
2004-11-18 16:00:00,-0.4875,4,-0.1483248264307609
2004-11-19 16:00:00,-0.196,11,0.48244716697622014
2004-11-20 16:00:00,,3,-0.2584402182404167
2004-11-23 16:00:00,0.52,3,-0.24871305223610493
2004-11-24 16:00:00,-0.43,1,-0.4205438563265568
2004-11-25 16:00:00,-0.485,2,-0.32993260404403246
2004-11-26 16:00:00,,2,-0.3334855211779056
2004-11-27 16:00:00,-0.51,1,-0.4206724643244439
2004-11-30 16:00:00,0.30666666666666664,9,0.3081086572746391
2004-12-01 16:00:00,0.136,8,0.20422313472866774
2004-12-02 16:00:00,0.46,2,-0.3613178537507198
2004-12-04 16:00:00,-0.4266666666666667,3,-0.2604901012372847
2004-12-07 16:00:00,0.065,8,0.19174957034190393
2004-12-08 16:00:00,-0.51,2,-0.37406883394568147
2004-12-09 16:00:00,0.49333333333333335,5,0.3003464469910323
2004-12-10 16:00:00,0.52,8,1.3103999290414372
2004-12-14 16:00:00,,2,-0.6939640563336281
2004-12-16 16:00:00,,4,0.0
2004-12-17 16:00:00,-0.51,1,-1.0258749216345622
2004-12-18 16:00:00,0.5,1,-0.9875374193388398
2004-12-21 16:00:00,0.33,5,0.33657280044590804
2004-12-22 16:00:00,0.34,5,0.3142164516078127
2004-12-23 16:00:00,,1,-0.9672227016086339
2004-12-28 16:00:00,0.38000000000000006,31,4.544139123782805
2004-12-29 16:00:00,0.2975,9,0.7333497875269517
2004-12-31 16:00:00,,4,-0.14666995750539027
2005-01-04 16:00:00,-0.48857142857142855,13,1.3365327460949838
2005-01-05 16:00:00,-0.98,7,0.2854452382530803
2005-01-06 16:00:00,-0.11,2,-0.5708904765061605
2005-01-11 16:00:00,0.65,2,-0.5635782434480434
2005-01-12 16:00:00,0.28,1,-0.7114029679622413
2005-01-13 16:00:00,0.41,4,-0.16654663754830693
2005-01-14 16:00:00,0.54,1,-0.6679305978195574
2005-01-15 16:00:00,,1,-0.6527387513974946
2005-01-18 16:00:00,0.52,3,-0.3254020861172203
